RefNum,Semester,DepartmentInfo,Name,TimeInfo,Credits,Professor,Description
51175,F,BIOL 101 A,GENERAL BIOLOGY I,MWF 9:00 AM-9:50 AM,4,Dr. Kristina O. Pazehoski,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51176,F,BIOL 101 B,GENERAL BIOLOGY I,MWF 10:00 AM-10:50 AM,4,Dr. Kristina O. Pazehoski,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51177,F,BIOL 101 L L,LABORATORY,M 2:00 PM-4:59 PM,0,Stephen P. Jenkins,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51178,F,BIOL 101 M L,LABORATORY,T 9:30 AM-12:29 PM,0,Laurie S. Lytle,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51179,F,BIOL 101 N L,LABORATORY,T 2:00 PM-4:59 PM,0,#NAME?,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51180,F,BIOL 101 O L,LABORATORY,W 2:00 PM-4:59 PM,0,#NAME?,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51183,F,BIOL 101 P L,LABORATORY,R 9:30 AM-12:29 PM,0,Laurie S. Lytle,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51184,F,BIOL 101 R L,LABORATORY,R 2:30 PM-5:29 PM,0,Joy G. Strain,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51185,F,BIOL 101 S L,LABORATORY,F 2:00 PM-4:59 PM,0,Dr. Abigail E. Wolfe,"BIOL 101. GENERAL BIOLOGY I. The first course in a year-long introduction to the unifying principles of biology. This semester includes discussion of the chemistry of life, cells structure, energy, genetics, and physiology. Three lectures and one lab per week. Fall semester only, four hours."
51186,F,BIOL 207 A,GENERAL MICROBIOLOGY,M 8:00 AM-10:30 AM,4,#NAME?,"BIOL 207. GENERAL MICROBIOLOGY. This course will provide students with the basic concepts and principles within the field of Microbiology, especially as they relate to microorganisms and viruses that cause disease. Topics include an introduction to the major classes of microorganisms and viruses, microbial nutrition and metabolism, the control of microbial growth, and innate and adaptive immunity. Special emphasis will be placed on a subset of medically important pathogens as a way of illustrating the importance of understanding microbial physiology and pathogenesis as well as the prevention and control of infection. The course is designed specifically for students who are interested in pursuing a career in nursing. Prerequisite: Nursing Program majors only. Fall semester only, four hours."
51187,F,BIOL 207 L L,LABORATORY,M 1:00 PM-3:59 PM,0,#NAME?,"BIOL 207. GENERAL MICROBIOLOGY. This course will provide students with the basic concepts and principles within the field of Microbiology, especially as they relate to microorganisms and viruses that cause disease. Topics include an introduction to the major classes of microorganisms and viruses, microbial nutrition and metabolism, the control of microbial growth, and innate and adaptive immunity. Special emphasis will be placed on a subset of medically important pathogens as a way of illustrating the importance of understanding microbial physiology and pathogenesis as well as the prevention and control of infection. The course is designed specifically for students who are interested in pursuing a career in nursing. Prerequisite: Nursing Program majors only. Fall semester only, four hours."
51188,F,BIOL 208 A,INTRO TO ENVIRONMENTAL EDUCATION,,2,#NAME?,"BIOL 208. INTRODUCTION TO ENVIRONMENTAL EDUCATION. This course introduces the scope of environmental education. Topics addressed will include history and current trends, issue articulation and methodology, and development of problem-solving and communication skills to address environmental issues. Learning competencies K-12 will be emphasized and reinforced by environmental project-learning experiences. Alternate years, fall semester only, two hours."
51189,F,BIOL 233 A,GENETICS,MWF 12:00 PM-12:50 PM,4,Brian C. Yowler,"BIOL 233. GENETICS. An exploration of modern genetics beginning with early 20th century classical concepts as they relate to cells, organisms, and populations, continuing through late 20th century genetics as the molecular basis for classical concepts, and concluding with 21st century techniques and concepts including genomics and proteomics. Three lectures and one recitation per week. Prerequisite: Biology 102. Fall semester only, four hours."
51190,F,BIOL 233 L L,RECITATION,T 11:00 AM-12:15 PM,0,Brian C. Yowler,"BIOL 233. GENETICS. An exploration of modern genetics beginning with early 20th century classical concepts as they relate to cells, organisms, and populations, continuing through late 20th century genetics as the molecular basis for classical concepts, and concluding with 21st century techniques and concepts including genomics and proteomics. Three lectures and one recitation per week. Prerequisite: Biology 102. Fall semester only, four hours."
51191,F,BIOL 233 M L,RECITATION,T 11:00 AM-12:15 PM,0,Brian C. Yowler,"BIOL 233. GENETICS. An exploration of modern genetics beginning with early 20th century classical concepts as they relate to cells, organisms, and populations, continuing through late 20th century genetics as the molecular basis for classical concepts, and concluding with 21st century techniques and concepts including genomics and proteomics. Three lectures and one recitation per week. Prerequisite: Biology 102. Fall semester only, four hours."
51192,F,BIOL 233 N L,RECITATION,T 12:30 PM-1:45 PM,0,Brian C. Yowler,"BIOL 233. GENETICS. An exploration of modern genetics beginning with early 20th century classical concepts as they relate to cells, organisms, and populations, continuing through late 20th century genetics as the molecular basis for classical concepts, and concluding with 21st century techniques and concepts including genomics and proteomics. Three lectures and one recitation per week. Prerequisite: Biology 102. Fall semester only, four hours."
51193,F,BIOL 233 O L,RECITATION,T 12:30 PM-1:45 PM,0,Brian C. Yowler,"BIOL 233. GENETICS. An exploration of modern genetics beginning with early 20th century classical concepts as they relate to cells, organisms, and populations, continuing through late 20th century genetics as the molecular basis for classical concepts, and concluding with 21st century techniques and concepts including genomics and proteomics. Three lectures and one recitation per week. Prerequisite: Biology 102. Fall semester only, four hours."
51194,F,BIOL 301 A,MEDICAL GENETICS,TR 9:30 AM-10:45 AM,4,Brian C. Yowler,"BIOL 301. MEDICAL GENETICS. This course focuses on the genetic causes of disease. A variety of diseases will be discussed, ranging from those caused by a single gene to very complex polygenic diseases. Furthermore, genetic testing will be covered, along with newly emerging therapeutic approaches to treating genetic diseases. The lab portion of the course will involve the use of current DNA-analysis techniques, as well as off-campus visits to clinical labs and lectures from practicing professionals. Three lecture hours and one lab per week. Prerequisites: Biology 233 and 234. Fall semester only, four hours."
51195,F,BIOL 301 L L,LABORATORY,R 2:00 PM-5:49 PM,0,Brian C. Yowler,"BIOL 301. MEDICAL GENETICS. This course focuses on the genetic causes of disease. A variety of diseases will be discussed, ranging from those caused by a single gene to very complex polygenic diseases. Furthermore, genetic testing will be covered, along with newly emerging therapeutic approaches to treating genetic diseases. The lab portion of the course will involve the use of current DNA-analysis techniques, as well as off-campus visits to clinical labs and lectures from practicing professionals. Three lecture hours and one lab per week. Prerequisites: Biology 233 and 234. Fall semester only, four hours."
51196,F,BIOL 305 A,PLANT TAXONOMY,MWF 10:00 AM-10:50 AM,4,Jan F. Dudt,"BIOL 305. PLANT TAXONOMY. A study of plants in relation to their habitats, including aspects of plant geography and taxonomy in the lecture portion and methods of plant identification, collection, and preservation with emphasis on local flora in the lab portion. Three lectures and one lab per week. Prerequisite: Biology 234. Fall semester only, four hours."
51197,F,BIOL 305 L L,LABORATORY,W 2:00 PM-4:59 PM,0,Jan F. Dudt,"BIOL 305. PLANT TAXONOMY. A study of plants in relation to their habitats, including aspects of plant geography and taxonomy in the lecture portion and methods of plant identification, collection, and preservation with emphasis on local flora in the lab portion. Three lectures and one lab per week. Prerequisite: Biology 234. Fall semester only, four hours."
51198,F,BIOL 313 A,HISTOLOGY,TR 11:00 AM-12:15 PM,3,Dr. Tracy Farone,"BIOL 313. HISTOLOGY. This course offers a focused study of the normal tissues of mammals from both a morphological and a functional view at a microscopic level. Selected common tissue pathologies will also be introduced, discussed, and observed. Each student gets experience in the preparation of fresh slides, as well as identifying all major body tissues under the light microscope and utilizing virtual technology. Prerequisite: Biology 234. Fall semester only, three hours."
51199,F,BIOL 323 A,INVERTEBRATE ZOOLOGY,MWF 9:00 AM-9:50 AM,3,Stephen P. Jenkins,"BIOL 323. INVERTEBRATE ZOOLOGY. This course will provide students with a comprehensive presentation to the major invertebrate phyla through a combination of lectures and workshops. But because invertebrates comprise roughly 97% of animal species on the planet, we will emphasize terrestrial invertebrates, especially live ones locally available. Prerequisite: Biology 234. Alternate fall semesters, three hours."
51200,F,BIOL 328 A,FOUND OF GEOGRAPHIC INFO SCIENCE,MWF 1:00 PM-1:50 PM,4,Darren Wood,"BIOL 328. FOUNDATIONS OF GEOGRAPHIC INFORMATION SCIENCE. This course offers an introduction into geographic information science (GIS). The course will focus on the foundational elements of spatial data analysis with students learning and applying essential mapping skills within the ArcGIS� software, specifically demonstrating the ability to acquire, manage, and analyze spatial data. The course will meet three times a week and consist of both lecture and in-class software analysis. Prerequisite: Biology 102. Fall semester only, four hours."
51201,F,BIOL 331 A,ECOLOGY,TR 8:00 AM-9:15 AM,3,Darren Wood,"BIOL 331. ECOLOGY. A study of responses of living systems to a changing environment in relation to selected ecosystems with emphasis on the interrelations of individual, population, community, and habitat. Two lectures per week. Prerequisite: Biology 234. Fall semester only, three hours."
51202,F,BIOL 332 A,ECOLOGY LABORATORY,F 2:00 PM-4:59 PM,1,Darren Wood,"BIOL 332. ECOLOGY LABORATORY. The application of ecological principles through both field and lab investigations which quantify the dynamic relationships at an individual, population, and community level. One lab per week. Course must be taken concurrently with Biology 331. Prerequisite: Biology234, Corequisite: Biology 331. Fall semester only, one hour"
51203,F,BIOL 341 A,HUMAN/MAMMALIAN ANATOMY,MWF 10:00 AM-10:50 AM,4,Dr. Tracy Farone,"BIOL 341. HUMAN/MAMMALIAN ANATOMY. Gross and microscopic anatomy of mammals will be explored with emphasis on humans. These holistic studies of the body will include 11 major systems: integumentary, skeletal, muscular, circulatory, respiratory, renal, digestive, reproductive, neurologic, endocrine, and lymphatic. This course illustrates normal form and function principles and has special importance in preparation of the health-related careers. Three lectures and one lab per week. Prerequisite: Biology 234. Fall semester only, four hours."
51204,F,BIOL 341 L L,LABORATORY,M 3:00 PM-4:59 PM,0,Dr. Tracy Farone,"BIOL 341. HUMAN/MAMMALIAN ANATOMY. Gross and microscopic anatomy of mammals will be explored with emphasis on humans. These holistic studies of the body will include 11 major systems: integumentary, skeletal, muscular, circulatory, respiratory, renal, digestive, reproductive, neurologic, endocrine, and lymphatic. This course illustrates normal form and function principles and has special importance in preparation of the health-related careers. Three lectures and one lab per week. Prerequisite: Biology 234. Fall semester only, four hours."
51206,F,BIOL 341 M L,LABORATORY,M 1:00 PM-2:59 PM,0,Dr. Tracy Farone,"BIOL 341. HUMAN/MAMMALIAN ANATOMY. Gross and microscopic anatomy of mammals will be explored with emphasis on humans. These holistic studies of the body will include 11 major systems: integumentary, skeletal, muscular, circulatory, respiratory, renal, digestive, reproductive, neurologic, endocrine, and lymphatic. This course illustrates normal form and function principles and has special importance in preparation of the health-related careers. Three lectures and one lab per week. Prerequisite: Biology 234. Fall semester only, four hours."
51205,F,BIOL 341 N L,LABORATORY,W 1:00 PM-2:59 PM,0,Dr. Tracy Farone,"BIOL 341. HUMAN/MAMMALIAN ANATOMY. Gross and microscopic anatomy of mammals will be explored with emphasis on humans. These holistic studies of the body will include 11 major systems: integumentary, skeletal, muscular, circulatory, respiratory, renal, digestive, reproductive, neurologic, endocrine, and lymphatic. This course illustrates normal form and function principles and has special importance in preparation of the health-related careers. Three lectures and one lab per week. Prerequisite: Biology 234. Fall semester only, four hours."
51207,F,BIOL 343 A,ICHTHYOLOGY,MWF 8:00 AM-8:50 AM,3,Darren Wood,"BIOL 343. ICTHYOLOGY. A study of the taxonomy, diversity, physiology, anatomy, and evolution of fishes across the globe with field specimen identification focused on fishes in the northeastern United States. Three lectures per week. Prerequisite: Biology 234. Alternate years, fall semester only, three hours."
51208,F,BIOL 407 A,MICROBIOLOGY,TR 8:00 AM-9:15 AM,4,Devin Lee Stauff,"BIOL 407. MICROBIOLOGY. An introduction to microorganisms, primarily bacteria that cause disease in humans, which focuses on microbial structures, genetics, and life cycles, and also delves into molecular pathogenesis mechanisms and interactions between pathogens and the mammalian immune system. Two lectures and two labs per week. Prerequisites: Biology 234 and Chemistry 111 and 113. Fall semester only, four hours."
51209,F,BIOL 407 L L,LABORATORY,TF 1:00 PM-2:30 PM,0,Devin Lee Stauff,"BIOL 407. MICROBIOLOGY. An introduction to microorganisms, primarily bacteria that cause disease in humans, which focuses on microbial structures, genetics, and life cycles, and also delves into molecular pathogenesis mechanisms and interactions between pathogens and the mammalian immune system. Two lectures and two labs per week. Prerequisites: Biology 234 and Chemistry 111 and 113. Fall semester only, four hours."
51210,F,BIOL 407 M L,LABORATORY,TF 2:30 PM-4:00 PM,0,Devin Lee Stauff,"BIOL 407. MICROBIOLOGY. An introduction to microorganisms, primarily bacteria that cause disease in humans, which focuses on microbial structures, genetics, and life cycles, and also delves into molecular pathogenesis mechanisms and interactions between pathogens and the mammalian immune system. Two lectures and two labs per week. Prerequisites: Biology 234 and Chemistry 111 and 113. Fall semester only, four hours."
51211,F,BIOL 488 A,SEMINAR IN BIOLOGY,F 1:00 PM-1:50 PM,1,Dr. Kristina O. Pazehoski,"BIOL 488. SEMINAR IN BIOLOGY. Required of all majors in the Department of Biology except for those in teacher certification programs. Students will apply the knowledge they have obtained in previous biology classes by writing a literature review on a biological topic of their interest. Students will learn how to perform in-depth research of scientific literature through the use of library/web resources, and will gain experience in both reading and critically evaluating peer-reviewed journal articles. Special emphasis will be placed on the students� participation in a peer-review process as they evaluate their peers� papers. The class culminates with each student delivering a professional oral presentation about their chosen topic. This course fulfills the Writing Intensive (WI), Information Literacy (IL), and Speaking Intensive (SI) requirements for majors in the Department of Biology. Prerequisite: Senior standing. Semester course, one hour."
51212,F,BIOL 488 B,SEMINAR IN BIOLOGY,F 1:00 PM-1:50 PM,1,Jan F. Dudt,"BIOL 488. SEMINAR IN BIOLOGY. Required of all majors in the Department of Biology except for those in teacher certification programs. Students will apply the knowledge they have obtained in previous biology classes by writing a literature review on a biological topic of their interest. Students will learn how to perform in-depth research of scientific literature through the use of library/web resources, and will gain experience in both reading and critically evaluating peer-reviewed journal articles. Special emphasis will be placed on the students� participation in a peer-review process as they evaluate their peers� papers. The class culminates with each student delivering a professional oral presentation about their chosen topic. This course fulfills the Writing Intensive (WI), Information Literacy (IL), and Speaking Intensive (SI) requirements for majors in the Department of Biology. Prerequisite: Senior standing. Semester course, one hour."
51050,F,CHEM 105 A,CHEMISTRY FOR ENGINEERS,MWF 8:00 AM-8:50 AM,4,Michael F. Falcetta,"CHEM 105. CHEMISTRY FOR ENGINEERS. An introductory survey in the fundamental principles of chemistry, including chemical reactions and equations; behavior of gases; chemical thermodynamics; basics of electrochemistry; crystal structure; and nuclear, organic, and environmental chemical fundamentals. Students who have earned credit for CHEM 105 may not subsequently receive credit for CHEM 111 or 113. Three lectures and one lab per week. Fall semester only, four hours."
51051,F,CHEM 105 B,CHEMISTRY FOR ENGINEERS,MWF 9:00 AM-9:50 AM,4,Michael F. Falcetta,"CHEM 105. CHEMISTRY FOR ENGINEERS. An introductory survey in the fundamental principles of chemistry, including chemical reactions and equations; behavior of gases; chemical thermodynamics; basics of electrochemistry; crystal structure; and nuclear, organic, and environmental chemical fundamentals. Students who have earned credit for CHEM 105 may not subsequently receive credit for CHEM 111 or 113. Three lectures and one lab per week. Fall semester only, four hours."
51052,F,CHEM 105 L L,LABORATORY,T 11:00 AM-12:59 PM,0,Michael F. Falcetta,"CHEM 105. CHEMISTRY FOR ENGINEERS. An introductory survey in the fundamental principles of chemistry, including chemical reactions and equations; behavior of gases; chemical thermodynamics; basics of electrochemistry; crystal structure; and nuclear, organic, and environmental chemical fundamentals. Students who have earned credit for CHEM 105 may not subsequently receive credit for CHEM 111 or 113. Three lectures and one lab per week. Semester course, four hours."
51053,F,CHEM 105 M L,LABORATORY,T 1:00 PM-2:59 PM,0,Michael F. Falcetta,"CHEM 105. CHEMISTRY FOR ENGINEERS. An introductory survey in the fundamental principles of chemistry, including chemical reactions and equations; behavior of gases; chemical thermodynamics; basics of electrochemistry; crystal structure; and nuclear, organic, and environmental chemical fundamentals. Students who have earned credit for CHEM 105 may not subsequently receive credit for CHEM 111 or 113. Three lectures and one lab per week. Semester course, four hours."
51056,F,CHEM 105 N L,LABORATORY,T 3:00 PM-4:59 PM,0,Michael F. Falcetta,"CHEM 105. CHEMISTRY FOR ENGINEERS. An introductory survey in the fundamental principles of chemistry, including chemical reactions and equations; behavior of gases; chemical thermodynamics; basics of electrochemistry; crystal structure; and nuclear, organic, and environmental chemical fundamentals. Students who have earned credit for CHEM 105 may not subsequently receive credit for CHEM 111 or 113. Three lectures and one lab per week. Semester course, four hours."
51058,F,CHEM 111 A,GENERAL CHEMISTRY I,MWF 10:00 AM-10:50 AM,3,* CHEM Staff,"CHEM 111. GENERAL CHEMISTRY I. The first semester of a year-long introduction to the fundamental principles of chemistry, including stoichiometry, nomenclature, basic reactions (solubility, acid-base and oxidation reduction), gas laws, Laws of Thermodynamics (enthalpy, entropy, Gibb�s free energy and equilibrium constant), electronic structure, bonding, molecular structure, properties of pure liquids and solids, and solutions. Three lectures per week. No credit will be given to students who have already received credit for Chemistry 105. Fall semester only, three hours."
51059,F,CHEM 111 B,GENERAL CHEMISTRY I,MWF 12:00 PM-12:50 PM,3,* CHEM Staff,"CHEM 111. GENERAL CHEMISTRY I. The first semester of a year-long introduction to the fundamental principles of chemistry, including stoichiometry, nomenclature, basic reactions (solubility, acid-base and oxidation reduction), gas laws, Laws of Thermodynamics (enthalpy, entropy, Gibb�s free energy and equilibrium constant), electronic structure, bonding, molecular structure, properties of pure liquids and solids, and solutions. Three lectures per week. No credit will be given to students who have already received credit for Chemistry 105. Fall semester only, three hours."
51060,F,CHEM 113 L,GENERAL CHEMISTRY I LAB,M 2:00 PM-4:59 PM,1,* CHEM Staff,"CHEM 113. GENERAL CHEMISTRY I LAB. This course will develop laboratory skills in measurement, use of volumetric glassware and titration. Students will learn to use visible spectrometers, calorimeters, and data probes to record results on their computers. They will be exposed first-hand to concepts in Chemistry 111 including solubility, acid-base neutralization, gas laws and colligative properties. Pre- or Co-requisite: Chemistry 111. Fall Semester only, one hour"
51061,F,CHEM 113 M,GENERAL CHEMISTRY I LAB,W 2:00 PM-4:59 PM,1,* CHEM Staff,"CHEM 113. GENERAL CHEMISTRY I LAB. This course will develop laboratory skills in measurement, use of volumetric glassware and titration. Students will learn to use visible spectrometers, calorimeters, and data probes to record results on their computers. They will be exposed first-hand to concepts in Chemistry 111 including solubility, acid-base neutralization, gas laws and colligative properties. Pre- or Co-requisite: Chemistry 111. Fall Semester only, one hour"
51062,F,CHEM 113 N,GENERAL CHEMISTRY I LAB,R 9:30 AM-12:29 PM,1,Venney Wong,"CHEM 113. GENERAL CHEMISTRY I LAB. This course will develop laboratory skills in measurement, use of volumetric glassware and titration. Students will learn to use visible spectrometers, calorimeters, and data probes to record results on their computers. They will be exposed first-hand to concepts in Chemistry 111 including solubility, acid-base neutralization, gas laws and colligative properties. Pre- or Co-requisite: Chemistry 111. Fall Semester only, one hour"
